,recipe_id,recipeName,course,cuisine,ingredients
0,0,INDIAN BUTTER CHICKEN,[Main Dishes],[Indian],"[boneless chicken, garam masala, chili powder, salt, garlic cloves, ginger, olive oil, butter, onions, chili pepper, tumeric, coriander powder, cumin seed, tomatoes, water, ketchup, honey, milk, pepper, cilantro]"
1,1,Mutton Chops Curry Recipe-How to make mutton chops curry,[Main Dishes],[Indian],"[lamb chops, yoghurt, garlic paste, oil, seeds, cumin seed, green chilies, red chili peppers, onions, cardamom, clove, cinnamon, cilantro leaves, mint leaves, salt]"
2,2,Spicy mixture ~ South Indian Trail mix | Diwali,[],[Indian],"[chickpea flour, rice flour, red chili powder, salt, oil, poha, bengal gram, peanuts, curry leaves, asafetida]"
3,3,Creamy Chicken Tikka Masala,[Main Dishes],[Indian],"[garlic cloves, fresh ginger, canola oil, boneless chicken skinless thigh, plain yogurt, salt, pepper, unsalted butter, olive oil, serrano peppers, yellow onion, tomato paste, garam masala, paprika, cayenne pepper, water, roma tomatoes, heavy cream, cilantro, honey, rice]"
4,4,Tandoori Turkey Breast,[Main Dishes],[Indian],"[plain yogurt, lime, garam masala, cumin, coriander seeds, garlic powder, ground ginger, ground cinnamon, salt, tumeric, cayenne pepper, ground black pepper, fennel seeds, ground cloves, ground cardamom, turkey breast]"
5,5,Keema Paratha Recipe-Stuffed keema paratha,[],[Indian],"[whole wheat flour, ghee, salt, mutton, onions, cumin seed, green chilies, garlic paste, red chili powder, chat masala, cilantro leaves, oil, wheat flour]"
6,6,Slow-Cooker Coconut Chicken Tikka Masala,[Main Dishes],[Indian],"[bone in chicken thighs, ground coriander, paprika, salt, ground red pepper, canola oil, coconut milk, onions, garlic, gingerroot, ground cumin, garam masala, ground turmeric, diced tomatoes, whipping cream, chopped cilantro fresh, basmati rice, lime wedges]"
7,7,"Dahi Chicken Curry, Doi Murgh",[Main Dishes],[Indian],"[chicken, onions, garlic, ginger, red chili peppers, peppercorns, bay leaves, green cardamom pods, clove, cinnamon sticks, red chili powder, salt, kasuri methi, yoghurt, buttermilk, garam masala, oil]"
8,8,Homemade Tikka Masala,[Main Dishes],[Indian],"[boneless skinless chicken breasts, plain yogurt, garlic, fresh ginger, lemon juice, garam masala, salt, pepper, unsalted butter, jalapeno chilies, minced ginger, tomato paste, paprika, diced tomatoes, water, heavy cream, steamed rice, chopped cilantro]"
9,9,Butter Chicken,[Main Dishes],[Indian],"[onions, butter, vegetable oil, chicken breasts, chillies, ginger, garlic, cooking cream, low-fat yogurt, brown sugar, tomato paste, canned tomatoes, rice, water, cardamom, garam masala, clove, cinnamon, coriander, tumeric]"
